questions,answers
Gia đình có đang sống với anh không?,Gia đình tôi hiện đang sống với tôi.
Không biết chỗ cậu có trống để thêm người vào ở không?,Nhà tôi có trống cho thêm người vào ở.
Chào cậu. Cậu đang sống cùng gia đình hay ở trọ thế ? Mình đang tìm hiểu các nhà trọ.,Mình đang thuê trọ một mình cậu ơi
Cậu thuê trọ ở đâu thế ?,"Mình thuê trọ ở quận 7, vừa gần trường vừa gần lũ bạn"
Phòng ở thoải mái chứ ?,"Ở đây thích lắm cậu ạ, thích làm gì thì làm."
"Giá cả như nào, có đắt lắm không ?","Tầm 1 triệu rưỡi đỗ lại thôi, rất thích hợp cho sinh viên nghèo haha."
"Nghe thích đấy, thế diện tích phòng như nào mà thoải mái ?","Phòng rộng đủ để ngủ, nấu ăn với sinh hoạt nè."
Chủ nhà trọ không cấm kị gì ư ?,Chỉ cần không làm phiền ai và đóng tiền đủ là ok hết.
Ở đó có chỗ phơi đỗ hay để xe gì không ?,"Thoải mái phơi đỗ, rất nhanh khô và có chỗ để xe cho mỗi người nhé."
Được quá. Khi nào mình rãnh sang tham quan phòng được chứ?,Dĩ nhiên. Khi nào tới bao trước với mình một câu là được.
mày đang ở nhà trọ ở đâu thế ?,"gần làng đại học á, nhà bè"
ở nhà bè giá trọ thường thuê bao nhiêu thế ?,"tầm 2 triệu đến gần 4 triệu á, mà tùy phòng số lượng người ở."
mày đang ở trọ với ai thế ?,với thằng chung phòng ktx cũ
ở trọ nhà bè có tuyến xe bus nào đến trường không ?,"có, tao ở trọ gần tuyến xe bus luôn, đi bộ khoảng 200m"
chỗ trọ mày ở có chỗ nào chơi không ?,"nhà bè thì ít lắm, chỗ đó ngoại ô rồi."
bắt grab từ nhà bè lên trường mình là bao nhiêu thế ?,"tầm 40k đổ xuống, xem khuyến mãi từng app thì ít hơn nhiều."
giá trọ 1 tháng ở đây bao nhiêu vậy?,vào khoảng 1 triệu 2 đó bạn
ở đây có cho nấu ăn không bạn?,ở đây cho nấu tùy ý nha bạn
gần nơi bạn ở có siêu thị gì không?,siêu thị thì không có nhưng có 2 cửa hàng tiện lợi ở đây
nơi bạn ở trọ có gần trạm xe buýt không?,"gần lắm bạn, chỉ cần 5 phút đi bộ là tới à"
theo bạn thì có những lợi ích nào khi sống ở gần trường?,theo mình nghĩ thì lợi ích lớn nhất là tiết kiệm thời gian
nơi bạn ở trọ có được ở ghép không vậy?,được ở ghép nhưng tối đa chỉ có 3 người thôi bạn
bạn đang thuê nhà ở bên nào thế?,mình đang thuê bên chỗ quận 7
tiền trọ một tháng của bạn có mắc không?,cũng không mắc lắm đâu
chỗ bạn trọ an ninh có tốt không?,bên mình an ninh an toàn lắm
bạn có ở chung với ai không?,mình ở với bạn mình
tiền điện của bạn bao nhiêu 1 kw?,tiền điện bên mình 3 nghìn rưỡi 1kw
cho mình hỏi có thể thuê nhà ở đâu?,bạn có thể kiếm phòng ở Nhà Bè
về an ninh phòng trọ mình muốn hỏi nó có tốt không?,an ninh ổn ít trộm cắp
và nơi ở có tiện cho mình đi học không?,không quá xa trường TDTU
cho mình hỏi giá cả thuê phòng như nào?,giá cả ưa đãi cho sinh viên
mình có phải ở ghép với ai nữa không?,ở ghép thì bạn đỡ tiền thuê nhà nhiều phần
cho mình hỏi nơi đó có yên tĩnh không?,nơi thoáng mát yên tĩnh
cho mình hỏi hiện tại bạn đang ở với ai vậy ạ ?,mình ở ghép á bạn
không biết giá phòng mình bao nhiêu vậy ạ?,phòng mình ở 800k bạn nhé
chỗ mình ở có wifi không thế bạn ?,có bạn nhé
không biết chủ nhà có dễ tính không ạ ?,cô chú hơi khó chịu á bạn
chỗ bạn ở có nhà để xe không ?,có bạn nhé
bạn thuê nhà ở đâu vậy?,mình thuê nhà ở Nhà Bè nha
chỗ trọ của bạn có tốt không?,cá nhân mình thấy cũng ổn
chỗ bạn trọ bao nhiêu tiền một tháng?,chỗ mình trọ 2 triệu một tháng
bạn ở trọ chung với ai vậy?,mình ở trọ một mình
chỗ bạn trọ họ có bao ăn không?,chỗ mình trọ không có bao ăn nah
Bạn học cùng lớp với mình phải không ?,Đúng rồi mình cũng học với bạn
"Mình đang timd người ở ghép chung với mình, bạn đang ở trọ ở đâu rồi á ?",Mình ở với gia đình ở quận Bình Tân
"Không phải là rất xa so với trường sao,bạn có muốn ở trọ ngoài không ?",Mình cũng đang có ý định đó mà chưa biết giá cả sao nữa.
Bạn có muốn ở ghép với mình không ? Chi phí mỗi tháng là 5tr chia đôi là mỗi người 2tr5,"Ồ để mình suy nghĩ thêm, nhưng mà tầm giá đó ổn với mình đó"
Vậy khi nào bạn có quyết định liên lạc với mình theo số này nhé,Được rồi mình sẽ liên lạc lại nhanh nhất có thể
Bạn thuê nhà ở đâu thế?,"Mình thuê nhà ở gần trường, gần nơi làm việc để dễ dàng cho việc đi lại"
Bạn thuê nhà như thế nào thế?,"Trải nghiệm của mình là mình ký hợp đồng với chủ nhà và đặt cọc, nhớ chú ý các điều khoản trong hợp đồng tránh rắc rối nhé"
Bạn hiện tại đang ở nhà thuê chung với ai thế?,"Mình đang ở chung với 4 bạn, bọn mình chia sẻ tiền phòng và phí sinh hoạt với nhau."
Giá cả của phòng thuê thì như thế nào là hợp lý vậy bạn?,"Này mình không chắc chắn, nhưng theo quan điểm mình thì tầm 3 đến 4 triệu dành cho 3 hay 4 người ở là một con số hợp lý đối sinh viên bọn mình"
"Nếu thuê nhà một mình, thì bạn có chịu thuê không?","Được chứ, ở một mình trong căn nhà riêng sẽ tôi luyện tính tự lập và còn có cả không gian riêng tư nữa, nên thích lắm."
địa chỉ hiện tại của bạn ở đâu?,nhà mình ở 18 Nguyễn Hữu Thọ
bạn sống cũng với ai?,mình sống cùng ba mẹ và một em gái
nhà bạn ở quận nào?,nhà mình ở quận 7
gần nhà bạn có gì thú vị không?,"gần nhà mình có trung tâm mua sắm với đầy đủ các điểm vui chơi, giải trí"
bạn sống ở đó bao lâu rồi?,mình sống ở đó từ lúc sinh ra tới bây giờ
"Hùng này , mày muốn  thuê nhà ở đâu?","Mình thuê phòng ở đường  Nguyễn oanh , quận Gò vấp."
Hùng Đã đi xem phòng ở nơi đó chưa?,"Mình Đã đi tham quan rồi , nơi đó rất đẹp , lại gần công viên gia định nữa."
giá phòng bạn thuê ở tại đó là nhiêu?,mình thuê phòng có giá là 4 triệu đồng.
Khu bạn sống có an ninh và trật tự không ?,"khu mình sống rất an ninh, yên tĩnh , không có các tiêu cực tệ nạn xã hội."
"Phòng bạn thuê vệ sinh chung hay riêng , có sạch không ?",Mỗi phòng đều có toilet riêng và được dọn dẹp sạch sẽ bởi các cô lao công.
hiện tại bạn đang ở sài gòn với gia đình hay sao ấy?,"ùm mình hiện tại đang sinh sống và làm việc tại Sài Gòn, nhưng mình không sống chung với gia đình."
thế bạn ở với ai? bạn ở thuê hay sao vậy?,mình làm cho công ty nên công ty lo chỗ ở cho mình nên mình không cần phải lo chỗ ở.
bạn ở chung với bạn hay là đồng nghiệp?,"hiện tại mình ở chung với đồng nghiệp, may mắn thay đồng nghiệp của mình cũng đồng thời là bạn của mình."
nơi ở của bạn ở đâu vậy?,"hiện tại mình ở căn hộ ở bên quận 2 ấy, mình quên mất tên."
giá tiền để thuê khoảng bao nhiêu ấy?,"nói thiệt thì mình cũng không rõ, do công ty mình lo về vấn đề này, nhưng điều kiện ở rất tốt và mình khá hài lòng."
cho hỏi chú có phải chủ nhà trọ này không ạ ?,đúng rồi con
cho con hỏi giá thuê nhà của mình là bao nhiêu vậy ạ ?,"1tr2 nha con, chưa tính tiền nước tiền điện"
vậy có thể ở mấy người vậy chú ?,có thể đủ cho 2 người nha con
vậy khi nào con có thể dọn đến vậy ạ ?,có thể dọn vào ở vào tuần sau nha con
nhà trọ mình có quy tắc gì không ạ ?,"không về khuya quá 11 giờ, không nhậu nhẹt, không tệ nạn nha"
vậy mình đặt cọc trước bao nhiêu vậy ?,đặt trước 1 tháng là được rồi
Bạn thuê nhà ở đâu?,"Mình thuê nhà ở Nhà Bè, trước đây thì ở quận 7"
Bạn thấy thuê ở đâu thì rẻ hơn?,"Tùy từng chỗ, nếu chỗ đó cơ sở vật chất tốt thì sẽ đắt hơn"
Bạn ở bao nhiêu người trong 1 phòng?,Mình ở 3 người
Giá của phòng bạn bao nhiêu?,Phòng mình giá 3 triệu
Bạn ở chung cư hay ở nhà trọ sinh viên?,Mình ở chung cư
Chung cư hay nhà trọ của bạn ở có an ninh không?,Rất an ninh
bạn thuê nhà ở đâu,mình đang thuê nhà ở huyện Nhà Bè
mỗi tháng chi phí thuê của bạn là bao nhiêu,mình thuê một triệu rưỡi mỗi tháng
phòng bạn ở bao nhiêu người,hiện tại mình ở một mình nhé
xung quanh đó có tiện nghi gì không,"có rất nhiều tiện nghi cơ bản như các cửa hàng tiện lợi, hồ bơi, phòng tập gym"
đường từ nơi bạn ở đến trường đi khoảng bao lâu,mình đi khoảng 5 đến 10 phút là đến trường
cho mình hỏi là phòng này đặt cọc trước bao nhiêu ạ,phòng này mình cho thuê cọc một tháng nha bạn
tiền điện nước và tiền mạng như thế nào vậy bạn,bên mình cố định thu mỗi tháng 200k nha
"ê mày, mày đang thuê nhà ở đâu vậy?","lê văn lương á, đoạn gần nguyễn thị thập."
"gần trường á, nhìn ổn hông mày, gía cả sao? tại tao đang tính chuyển trọ.","chỗ ở thì okiela lắm nha, an nình trật tự ổn định, phòng sáng sủa sạch sẽ, giá thì 4 triệu rưỡi 1 phòng ở được khoảng 3 hoặc 4 người."
ủa phòng mày còn trống chỗ hông?,"phòng tao đang thiếu 1 người. mà bà chị chung phòng tao bả hơi khó tính, sợ mày không chịu được bả á."
"vậy để tao rủ thêm nhỏ bạn nữa qua ở chung khu với mày, à cho tao hỏi giờ giấc sao?","bà chủ trọ thì khó dụ giờ giấc lắm, 11h bả đóng cửa rồi, mà nếu mày nói bả đi làm thì lúc làm về chịu khó gọi điện kêu bả xuống mở cửa."
bà chủ mày có dễ tính không?,"tao thấy bả không dễ cũng không khó, mày muốn dắt bạn về qua đêm thì phải nói cho bà chủ biết."
Bạn thuê nhà ở đâu?,Mình hiện tại thuê nhà tại Nhà Bè
Bạn thấy thế nào về căn nhà đấy?,Theo mình thì rất tốt.
Giá cả căn nhà bạn là bao nhiêu?,Thì phòng mình hai triệu rưỡi 1 tháng và ở 2 người
Bạn ở với ai tại đấy?,Mình ở với bạn học của mình.
Điện nước tính như nào bạn nhỉ?,Điện thì 20k/ 1m3. Còn nước thì 3k.
mình có thể tìm thuê nhà ở đâu?,"cậu có thể dễ dàng tìm nhà thuê tại trên các con đường như: Lê Văn Lương, Huỳnh Tấn Phát hoặc khu vực trong quận 7, quận 8, quận 4 và huyện Nhà Bè."
mình nên thuê nhà có giá dao động từ bao nhiêu?,"mức giá thấp nhất mình từng biết là từ 1,5 triệu đến cao nhất 5 triệu tùy phòng lớn hay nhỏ, ở nhiều người hay ít người, ở càng nhiều người giá càng thấp."
mình có thể thuê nhà ở ghép với ai?,"cậu có thể liên hệ với các bạn sinh viên TDTU, sinh viên Nguyễn Tất Thành, sinh viên Tài Chính Marketing."
chổ trọ ở đâu là tốt nhất?,mình nghĩ tốt nhất và an toàn nhất là ở kí túc xá trường nhưng sẽ phải tuân theo vài quy định về giờ giấc và vệ sinh. Nếu thuê trọ mình nghĩ tiền nào của nấy và bạn nên tham khảo thêm các hội nhóm sinh viên để có cái nhìn khách quan và thực tế nhất.
chi phí sinh hoạt ở đâu đắt nhất?,ở thành phố Hồ Chí Minh mình nghĩ chi phí ở Quận 1 và Quận 7 là sẽ đắt nhất vì mức sống ở đây cao nhất.
cậu thường ăn uống ở đâu?,bạn có thể tìm ở xung quanh trường. Trên đường Tôn Đản Quận 4 hay chợ ẩm thực Hồ Thị Kỷ Quận 10.
có những nơi giải trí vui chơi nào khi học ở Tôn Đức Thắng?,"bạn có thể tìm đến tiệm net xung quanh trường nếu thích chơi game. Hoặc cầu Ánh Sao nếu thích đi dạo. Cresent Mall, Vivo City nếu thích mua sắm và vui chơi tổng hợp."
mình có thể tìm đến nơi nào để đọc sách?,"mình nghĩ nơi lí tưởng nhất để đọc sách là thư viện trường vì ở đó yên tĩnh tuyệt đối, không gian rộng rãi có bàn ghế luôn sẵn sàng phục vụ."
mình có cần lưu ý gì khi học ở Tôn Đức Thắng không?,cậu cần lưu ý khi ra cổng 3 nhớ cẩn thận tư trang và điện thoại di động vì hay có móc túi. Vào thang máy nhớ xếp hàng. Không được xả rác bừa bãi. Gặp người lớn và giáo viên trong trường phải gật đầu chào hỏi.
bạn định thuê nhà ở đâu?,mình định thuê ở gần trường
nhà gần trường giá cả có hợp lý cho sinh viên không bạn nhỉ?,đa số các chủ nhà đều hiểu hoàn cảnh sinh viên nên giảm giá nhiều lắm
vậy bạn định ở với ai?,thì ở với mấy bạn ở ghép chung với mình
gần chỗ bạn ở có siêu thị hay chợ gì không?,"có, có lotte mart với vivo gần đó lắm"
ở gần trường thì chắc đi học cũng tiện nhỉ?,tiện thì tiện nhưng vì gần nên hay chủ quan xong đi học trễ ấy
Bạn ở đâu?,Mình ở quận 8
Bạn ở nhà thuê phải không?,Đúng rồi
Bạn thuê nhà giá bao nhiêu,Mình thuê 3 triệu 1 tháng
Bạn ở với ai vậy?,Mình ở với gia đình
Mình học ở trường đại học Tôn Đức Thắng thì mình nên chọn trọ ở đâu?,"Theo mình bạn nên chọn trọ ở quận 7, Nhà Bè hoặc bạn có thể ở ký túc xá của trường."
Nhà bạn thuê có tiện ích gì không?,"Nhà mình thuê có điều hoà, bếp ga, máy giặt đầy đủ."
Nhà trọ của bạn có gần trung tâm thành phố không?,Nhà trọ mình cách trung tâm thành phố khá xa.
Gần nhà bạn có nhiều quán ăn ngon không?,"gần nhà mình có một số quan ăn nhưng cũng không ngon lắm, ăn được thôi."
Bạn đang sống với ai?,Mình đang sống với bạn cảu mình.
em có thể ở ktx được không ạ,em đăng ký theo form để xét ở ktx nhé
em muốn ở lâu tại ktx thì làm thế nào ạ,em tuân thủ theo nội quy ktx và tham gia hoạt động thể dục để xét ở lại ktx nhé
ktx có gửi xe không ạ,"ktx gửi xe theo học kì, em đăng ký và đóng tiền đầy đủ nhé"
em thuê nhà ở đâu,em thuê trọ gần trường để tiện đi lại
thời gian từ nhà đến trường mất bao lâu,em đến trường mất tầm 10 phút đi xe
em đến trường bằng xe buýt hay xe máy,em đến bằng xe máy
trường có vé xe buýt hỗ trợ sinh viên không ạ,trường có đăng ký vé theo tháng em nhé
"Ê mày, sắp tới tao định chuyển trọ sang Q1, mày biết chỗ nào giá cả hợp lý không ?",Sao mày chuyển trọ vậy
"Thì sắp hết hợp đồng, với chỗ này xa chỗ tao làm quá","Ok, chỗ tao đang ở có phòng trống nè, giá cả hợp lý, phòng đẹp nữa"
Bao nhiêu 1 tháng vậy ?,3tr5 1 tháng nha mày
Có tính tiền điện nước chưa mày ?,Điện nước tính chung rồi đó
"Ok, có máy giặt không",Máy giặt tự trang bị nha
"Ok, hợp lý đó, để tao thu xếp tháng sau chuyển",Ok
Cảm ơn mày nha,Không có gì đâu
"Ê mày, sắp tới tao định chuyển trọ sang Q1, mày biết chỗ nào giá cả hợp lý không ?",Sao mày chuyển trọ vậy
"Thì sắp hết hợp đồng, với chỗ này xa chỗ tao làm quá","Ok, chỗ tao đang ở có phòng trống nè, giá cả hợp lý, phòng đẹp nữa"
Bao nhiêu 1 tháng vậy ?,3tr5 1 tháng nha mày
Có tính tiền điện nước chưa mày ?,Điện nước tính chung rồi đó
"Ok, có máy giặt không",Máy giặt tự trang bị nha
"Ok, hợp lý đó, để tao thu xếp tháng sau chuyển",Ok
Cảm ơn mày nha,Không có gì đâu
bạn ở trọ hay ở với ba mẹ?,mình ở trọ
bạn thuê trọ ở đâu vậy?,mình trọ ở bên Lê Văn Lương quận 7
bạn có ở chung với ai không?,mình ở chung với 3 bạn khác
giá trọ như thế nào hả bạn?,khoảng 1-1tr5 mỗi tháng
chỗ trọ của bạn còn phòng không?,mình không biết
bạn ở trọ như thế có nhiều bất tiện không?,lúc đầu cũng có 1 vài bất tiện
Bạn là sinh viên tỉnh khác phải không?,"Đúng vậy, mình ở Đồng Nai."
Bạn thuê trọ hay sống ở nhà người thân?,Mình thuê trọ ở gần phía Lotte Quận 7.
Giá cả ở đó thế nào?,"Cũng khá rẻ, 1 triệu 8 trăm ngàn đồng 1 tháng chưa tính điện nước."
Bạn ở 1 mình hay ở ghép?,Mình ở ghép cùng với 2 bạn nữa nên khá dễ chịu.
Khu vực đó có an ninh không?,Chỗ mình kế bên công an phường.
Chỗ bạn ở có thường bị kẹt xe không?,Thường kẹt vào sáng sớm và vào giờ tan tầm buổi chiều.
Bạn ở cùng với các bạn cùng trường không?,Có 2 bạn học cùng trường và 1 bạn học Tài chính Marketing.
Khu trọ của bạn có đông sinh viên không?,"Có, khoảng đâu đó 80% là các bạn sinh viên."
Bạn có thường về quê không?,Hàng tuần khi có thời gian rảnh mình sẽ về vì quên mình kahs gần thành phố.
Hàng tháng bạn có đi làm thêm để trả tiền trọ không?,"Không, tiền trọ và sinh hoạt đều do ba mẹ mfinh gửi từ quê lên."
"ông đang thuê trọ ở đâu thế, còn trống không?","tôi thuê ở gần trường, còn trống một phòng, ông có muốn thuê chung không"
"sáng giờ tui đi kiếm trọ mà toàn trên 3 triệu, bà có biết chỗ nào rẻ rẻ khoảng 1.5 triệu trở xuống không?","hình như cái mới xây ở gần trường có đó, bả thử qua đó hỏi thử xem"
"tui đang kiếm người ở ghép, ông có quen ai có nhu cầu không?","hình như không, nếu có thì tui báo lại cho"
"chỗ ông ở có bao điện, nước với wifi không?",chỉ bao điện nước thôi ông
"tui thấy ở trong ký túc xá tù túng quá, định dọn ra ngoài ở, bà có biết chỗ nào gần trường không?","chỗ tui còn trống nè, bà muốn ở chung với tui không"
Bạn ở Ký túc xá hay ở trọ vậy ?,Mình ở trọ
Bạn ở trọ khu nào vậy ?,Minh ở trọ khu C của làng Đại học
Giá cả phòng trọ như thế nào ?,Phòng mình ở là 3 triệu 1 tháng
Bạn có ở chung với ai không ?,"Có, mình ở chung với 3 thằng bạn"
Khu trọ của bạn có an ninh không vậy ?,"Có, rất là an nình"
Bạn ơi thuê nhà ở đâu vậy?,Lên google mà kiếm đi bạn ơi sao lại hỏi mình
có chỗ nào giá cả hợp lý ở quận 7 không vậy bạn?,mình thấy chỗ đường số 5 ngay gần trường Tôn Đức Thắng có mấy chỗ cho thuê trọ sinh viên á.
Bạn có ở chung với ai nữa không?,Ở với gia đình mình.
Có chỗ nào giá cả hợp lý mà gần trung tâm không?,Mình cũng không biết hay bạn thử search google đi
Mọi người cho em hỏi em nên ở kí túc xá hay ở trọ bên ngoài sẽ tiện hơn ạ?,"Mình thấy bạn nên ở ngoài sẽ tiện hơn vì không bị gò bó thời gian, có thể đi làm thêm ở bên ngoài"
Phòng trọ mình bao nhiêu một tháng vậy cô?,à nếu chưa tính tiền điện nước thì 3 triệu một tháng á con
Phòng trọ mình bao nhiêu một tháng vậy cô?,2 triệu rưỡi 1 tháng
Chỗ ông ở có mấy người rồi?,Chỗ tôi có 4 người rồi
Chỗ ông ở có mấy người rồi?,Chỗ tôi có 3 người rồi
Ông thấy nội thất ở đó được không?,"Được lắm nha, có cả lò vi sóng luôn"
Chỗ này có an ninh không?,An ninh lắm nên cứ yên tâm
Bạn lên đây học có ở nhà trọ không và ở đâu ?,Có nha bạn và mình ở quận 7 gần trường cho tiên cho việc đi lại.
Bạn ở một mình hay có ở chung với ai không ?,Mình ở một mình.
Cảm giác của bạn về chỗ ở trọ như thế nào ?,"Mình cảm thấy thoải mái, nhà trọ có đầy đủ tiện nghi và hàng xóm cũng khá hiền."
Căn nhà này như thế nào vậy ạ?,Căn nhà này rất rộng nhé bạn
Cho mình hỏi giá cả của căn nhà này thế nào?,Giá thuê của căn nhà này khá là ổn nhé bạn
Cho mình hỏi về an ninh của căn nhà này ạ?,Căn nhà này an ninh rất tốt nhé bạn
Cho mình hỏi chủ nhà có khó không ạ?,Chủ nhà này rất hiền bạn nhé
Ngôi nhà này có tiện đường đi đến trường TDTU không ạ?,Đường từ ngồi nhà này đến trường TDTU chỉ có 1km thôi bạn nhé
Cho mình hỏi gần khu vực này có siêu thị không ạ?,Xung quanh đây có rất nhiều siêu thị bạn nhé
Quê bạn ở đâu?,Quê mình ở Tiền Giang
Bạn hiện tại đang ở đâu?,Tớ đang ở thành phố Hồ Chí Minh
Gia đình bạn có ở cùng bạn không?,Mình hiện không sống cùng gia đình
Quê nội bạn ở đâu?,Quê nội mình ở Tiền Giang
Quê ngoại bạn ở đâu?,Quê ngoại mình ở Tiền Giang
bạn có nhà riêng không?,không mình sống với ba má
nhà bạn ở đâu ?,nhà mình ở quận 8
bạn có ở chung với ba mẹ không?,có mình sống với ba má
nhà bạn bao nhiêu lầu ?,nhà mình có 2 lầu
nhà bạn có bao nhiêu phòng ngủ?,4 phòng ngủ
nhà bạn rộng bao nhiêu?,"mình không biết, mình chưa đo"
nhà bạn là nhà cấp 4 hay biệt phủ?,nhà mình là nhà cấp 4
nhà bạn dài bao nhiêu mét?,mình chưa có đo
nhà bạn rộng bao nhiêu mét?,mình chưa có đo
nhà bạn diện tích bao nhiêu mét vuông?,mình chưa có đo
nhà bạn có nằm ở mặt tiền đường lớn không?,không mình ở trong hẻm
nhà bạn có người giúp việc không?,"không, nhà mình nghèo lắm"
nhà bạn có vào nhiêu người giúp việc?,"không, nhà mình nghèo lắm"
bạn có hay dọn dẹp nhà cửa không?,mình cũng không thường xuyên dọn lắm
nhà bạn có chỗ đậu ô tô không?,"không, nhà mình nghèo lắm"
bạn có nhà riêng không?,không mình sống với ba má
nhà bạn ở đâu ?,nhà mình ở quận 11
bạn có ở chung với ba mẹ không?,có mình sống với ba má
nhà bạn bao nhiêu lầu ?,nhà mình chung cư
nhà bạn có bao nhiêu phòng ngủ?,2 phòng ngủ
nhà bạn rộng bao nhiêu?,mình cũng không nhớ
nhà bạn là nhà cấp 4 hay biệt phủ?,nhà mình là chung cư
nhà bạn dài bao nhiêu mét?,mình chưa có đo
nhà bạn rộng bao nhiêu mét?,mình chưa có đo
nhà bạn diện tích bao nhiêu mét vuông?,mình chưa có đo
nhà bạn có nằm ở mặt tiền đường lớn không?,có mặt tiền
nhà bạn có người giúp việc không?,không có
nhà bạn có vào nhiêu người giúp việc?,không có
bạn có hay dọn dẹp nhà cửa không?,không có
nhà bạn có chỗ đậu ô tô không?,không có
bạn sống ở đâu,mình ở Penthouse tầng thượng Landmark 81
Nhà của bạn ở đâu?,
Nhà của bạn trị giá bao nhiêu tiền?,
Nhà của bạn dài bao nhiêu mét?,
Nhà của bạn dài bao nhiêu rộng?,
Nhà của bạn ở được bao nhiêu người?,
Nhà của bạn có bao nhiêu phòng ngủ?,
Nhà của bạn có bao nhiêu phòng tắm?,
Nhà của bạn có bao nhiêu tầng?,
nhà bạn ở đâu?,nhà mình ở đường Trần Quang Khải.
gia đình bạn ở đâu?,gia đình mình ở thành phố Hồ Chí Minh
Hiện tại bạn đang ở đâu?,"Mình đang sống tại căn biệt thự ở quận 3, TP.HCM"
Gia đình bạn gồm mấy thành viên?,Nhà mình gồm 4 thành viên sống hạnh phúc với nhau
bạn sống tại đâu?,Ở TpHCM nha.
bạn sống cùng với gia đình đúng không?,That's right.
bạn có sống gần họ hàng không?,Mình có.
nơi bạn đang sống có không gian thế nào?,Mình ở chung cư cách trung tâm tpHCM vài ki lô nét.
bạn có thích nơi ở hiện tại không?,"Có chớ, không thích dọn đi rồi."
bạn có dự tính chuyển đến nơi ở mới trong tương lai không?,Tùy tình hình nha.
nhà bạn ở đâu vậy bạn?,nhà mình ở Đắk Lắk
gia đình bạn có bao nhiêu người?,gia đình mình có tổng cộng 19 người
Bạn đang sống ở đâu?,mình sống ở thành phố Hồ Chí Minh
Bạn đang sống với ai?,mình sống với gia đình
Bạn sống ở quận nào?,mình sống ở quận 11
nhà bạn ở quận mấy?,Nhà mình ở quận 11
bạn có ở chung với gia đình không?,"Có, mình đang ở với gia đình"
gia đình bạn sống ở đâu?,Gia dình mình sống ở thành phố Hồ Chí Minh
hiện tại gia đình của bạn ở đây luôn hay là ở quê vây?,Mình ở Sài Gòn cùng gia đình từ nhỏ
nhà của bạn có ở gần đây không?,Nhà mình ở Tân Bình nên khá xa.
